y|x;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
30;12;11;11;11;11;11;11;11;11;11;11;11;11;1;1;7;7;1;5;5;5;11;11;11;1;7;9;19;19;19;20;20;21;20;20;12;19;19;19;8;6;13;14;14;14;1;8;1;5;1
31;11;11;11;11;11;11;11;9;9;9;11;11;1;5;1;7;7;1;5;5;5;11;11;11;1;7;9;19;19;19;20;20;12;20;20;12;19;19;9;8;6;6;6;14;14;1;8;1;5;1
32;11;11;11;11;11;11;11;9;7;7;11;1;5;6;1;7;7;1;5;5;5;11;11;11;1;7;9;9;19;19;20;20;12;12;12;19;19;9;9;8;7;7;6;14;6;1;8;1;5;1
33;9;9;11;11;11;11;11;9;7;7;1;6;5;5;1;7;7;1;5;5;5;11;11;11;1;7;9;9;19;19;20;12;20;20;20;19;19;9;8;8;7;7;7;6;7;1;8;1;5;1
34;9;9;11;11;11;11;11;9;7;1;5;5;6;5;1;6;5;1;1;1;1;1;1;11;1;7;11;9;19;19;12;19;19;19;19;19;9;8;8;8;7;7;7;7;5;1;8;1;5;1
35;7;7;9;9;9;9;9;7;1;5;5;5;5;6;1;6;5;1;8;8;8;8;1;11;1;7;11;11;9;12;19;19;19;19;19;19;9;8;8;8;5;5;5;5;5;1;8;1;5;1
36;7;7;7;7;6;7;7;1;5;5;5;5;5;5;1;6;5;1;8;8;8;8;1;1;1;7;11;11;11;12;9;9;9;9;9;9;8;8;8;8;5;5;5;5;5;1;8;1;5;1
37;7;7;7;7;7;1;1;7;7;5;6;6;7;7;1;6;6;1;8;8;8;8;1;7;7;1;11;11;11;12;7;9;9;9;9;9;8;8;8;8;5;5;5;5;5;1;8;1;5;1
38;8;8;8;8;1;5;5;5;5;5;5;5;5;5;1;5;6;1;8;8;8;8;1;7;7;7;1;11;11;12;7;7;7;7;7;7;8;8;8;8;5;5;5;5;5;1;8;1;5;1
39;8;8;8;1;5;5;6;5;5;5;6;5;5;5;1;5;6;1;8;8;8;8;1;5;5;5;6;1;12;8;6;7;7;7;7;7;8;8;8;8;5;5;5;5;5;1;8;1;5;1
40;8;8;1;5;5;5;5;6;5;5;5;6;6;5;1;5;6;1;8;8;8;8;1;5;5;5;7;7;1;8;7;7;7;6;7;7;8;8;8;8;5;1;1;1;1;1;1;1;1;1
41;8;1;5;5;6;5;5;5;5;6;5;5;5;5;1;5;6;1;8;8;8;8;1;5;5;5;7;7;7;1;7;7;7;7;7;7;8;8;8;8;1;6;15;16;16;16;16;16;16;1
42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;8;8;8;1;5;6;5;7;7;6;7;1;7;7;7;7;7;7;7;7;1;5;6;15;16;16;15;16;16;16;1
43;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;5;5;5;7;5;7;7;6;1;5;5;5;5;5;5;1;5;5;6;15;15;16;16;16;16;16;1
44;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;5;5;5;7;7;7;7;7;7;1;5;5;5;5;1;5;5;5;6;15;16;16;16;16;16;16;1
45;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;5;5;5;7;7;6;7;7;7;6;1;5;5;1;5;5;5;5;6;15;16;16;16;16;16;16;1
46;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;8;8;5;5;5;5;5;5;5;5;8;1;1;1;6;5;7;7;6;15;16;16;16;15;16;15;1
47;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;8;8;4;4;4;4;4;4;4;4;8;8;8;1;5;5;7;7;6;15;16;15;16;16;16;16;1
48;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;8;8;8;8;1;8;8;5;5;5;5;5;5;5;5;8;8;8;1;5;5;7;7;6;16;16;16;16;16;16;16;1
49;8;8;8;8;8;8;8;1;8;8;8;8;8;8;1;8;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
